Categorie,Naam,Beschrijving
Outdoor jassen,Cappuccino Italia - Heren Outdoorjas Softshell Zip Jacket Royal - Blauw - Maat S,"Cappuccino Italia Softshell Zip Jacket voor heren. De Softshell Zip Jacket is gemaakt van polyester en elastaan, en heeft een normale pasvorm.  Merk: Cappuccino Italia  Modelnaam: Softshell Zip Jacket  Categorie: heren Softshell Zip Jacket  Materialen: polyester, elastaan  Kleur: Royal blauw"
Outdoor jassen,Cappuccino Italia - Heren Outdoorjas Softshell Zip Jacket Navy - Blauw - Maat M,"Cappuccino Italia Softshell Zip Jacket voor heren. De Softshell Zip Jacket is gemaakt van polyester en elastaan, en heeft een normale pasvorm.  Merk: Cappuccino Italia  Modelnaam: Softshell Zip Jacket  Categorie: heren Softshell Zip Jacket  Materialen: polyester, elastaan  Kleur: navy blauw"
Outdoor jassen,The North Face Antora zomerjas jongens zwart,"The North Face Antora Jongens Regenjas  De The North Face Antora Jongens Regenjas is de perfecte keuze voor jonge avonturiers die het hele jaar door buiten willen zijn, ongeacht het weer. Deze regenjas is gemaakt van duurzame materialen en biedt maximale bescherming tegen wind en regen, waardoor uw kind droog en comfortabel blijft tijdens alle buitenactiviteiten. De jas is voorzien van een waterdichte en ademende buitenlaag die ervoor zorgt dat water niet doordringt, terwijl het tegelijkertijd vocht en zweet afvoert.  The North Face Antora Jongens Casual Zomerjas  Dit zorgt ervoor dat uw kind niet oververhit raakt tijdens activiteiten zoals wandelen of fietsen. De Antora Jongens Regenjas heeft een verstelbare capuchon en manchetten, zodat de jas perfect past en geen water binnenlaat. De jas heeft ook twee handige steekzakken met ritssluiting om waardevolle spullen veilig op te bergen. Of het nu gaat om een dagelijkse wandeling naar school of een weekendtrip naar de bergen, de The North Face Antora Jongens Regenjas is een betrouwbare en stijlvolle keuze voor elk avontuur.  Pluspunten:  + Waterafstotend+ Ademend+ Winddicht + Reflecterende details + Vaste capuchon+ Steekzakken met ritssluiting"
Outdoor jassen,"De Myla Waterdichte, geïsoleerde Parka jas van Regatta voor Dames  Outdoorjas Donkergroen Kaki Groen","De Myla Waterdichte, geïsoleerde Parka jas van Regatta voor Dames  Outdoorjas Donkergroen Kaki Groen"
Outdoor jassen,Fostex Ma-1 Bomber Jack Zwart - Maat M- Heren,"LET OP, VALT GROOT! Warme gewatteerde bomberjas, gemaakt van 100% sterk nylon en een metalen rits. Dit is een reproductie van het authentieke MA-1 flight jacket welke ontwikkeld werd in de jaren 50' door de US Airforce. Voorzien van een lage kraag en 2 grote steekzakken op de voorzijde. De MA-1 Bomber is een fijne jas welke perfect gebruikt kan worden voor diverse activiteiten. In de beveiligingswereld wordt de zwarte variant van de jas vaak gebruikt. De binnenvoering van de jas is oranje van kleur. Deze opvalllende kleur heeft een reden, zo konden piloten die hulp nodig hadden makkelijk gezien worden door hulptroepen. De jas is dus ook binnenstebuiten te dragen. Naast het functionele ontwerp, zijn bomber jacks erg populair binnen het straatbeeld en de fashionwereld. LET OP! Dit herenmodel heeft geen modische pasvorm. Hierdoor niet geschikt als damesmodel."
Outdoor jassen,The North Face Resolve Jacket Outdoorjas Heren - Maat L,"Specificaties: Pasvorm: normale pasvorm/ hoge kraag/ aantrekkoord in de zoom Temperatuurregeling: waterdichte en ademende tweelaagse DryVent™/ winddicht/ gesealde naden Rits: volledige ritssluiting met stormflap Zakken: twee zijzakken met ritssluiting Capuchon: vaste capuchon, kan in de kraag worden opgeborgen Manchetten: elastische manchetten aan de mouwen Kleur: zwart Materiaal: 100% polyester"
Outdoor jassen,The North Face W Fornet Jacket Outdoorjas Dames - Maat L,Onze Fornet-jas biedt maximaal comfort in de bergen en is een veelzijdige laag tijdens elk avontuur. Dankzij de volledige rits aan de voorkant en de ritsen onder de oksels kun je snel warmte laten ontsnappen als je lichaam harder werkt. De capuchon beschermt je tegen de elementen en biedt extra warmte als je die nodig hebt. De manchetlipjes voorkomen dat de mouwen omhoog gaan als je je uitstrekt en de voorzakken met rits bieden je een veilige plek om benodigdheden voor je expeditie in op te bergen.
Outdoor jassen,Fostex bomber jack MA-1 Blauw Maat M- Heren,"LET OP, VALT GROOT! Warme gewatteerde bomberjas, gemaakt van 100% sterk nylon en een metalen rits. Dit is een reproductie van het authentieke MA-1 flight jacket welke ontwikkeld werd in de jaren 50' door de US Airforce. Voorzien van een lage kraag en 2 grote steekzakken op de voorzijde. De MA-1 Bomber is een fijne jas welke perfect gebruikt kan worden voor diverse activiteiten. In de beveiligingswereld wordt de zwarte variant van de jas vaak gebruikt. De binnenvoering van de jas is oranje van kleur. Deze opvalllende kleur heeft een reden, zo konden piloten die hulp nodig hadden makkelijk gezien worden door hulptroepen. De jas is dus ook binnenstebuiten te dragen. Naast het functionele ontwerp, zijn bomber jacks erg populair binnen het straatbeeld en de fashionwereld. LET OP! Dit herenmodel heeft geen modische pasvorm. Hierdoor niet geschikt als damesmodel."
Outdoor jassen,Fostex Ma-1 Bomber Jack Groen - Maat M- Heren,"LET OP, VALT GROOT! Warme gewatteerde bomberjas, gemaakt van 100% sterk nylon en een metalen rits. Dit is een reproductie van het authentieke MA-1 flight jacket welke ontwikkeld werd in de jaren 50' door de US Airforce. Voorzien van een lage kraag en 2 grote steekzakken op de voorzijde. De MA-1 Bomber is een fijne jas welke perfect gebruikt kan worden voor diverse activiteiten. In de beveiligingswereld wordt de zwarte variant van de jas vaak gebruikt. De binnenvoering van de jas is oranje van kleur. Deze opvalllende kleur heeft een reden, zo konden piloten die hulp nodig hadden makkelijk gezien worden door hulptroepen. De jas is dus ook binnenstebuiten te dragen. Naast het functionele ontwerp, zijn bomber jacks erg populair binnen het straatbeeld en de fashionwereld. LET OP! Dit herenmodel heeft geen modische pasvorm. Hierdoor niet geschikt als damesmodel."
Outdoor jassen,The North Face M AYUS TECH JACKET - EU Heren Outdoorjas - Maat L,"De Ayus Tech-jas zit boordevol outdoor-ready functies om je warm en droog te houden op het wandelpad. DryVent™-materiaaltechnologie biedt waterdichte, winddichte en ademende bescherming. Er zitten zakken op met rits om essentials in te bewaren en verstelbare manchetten voor een goede pasvorm. En als je het te warm krijgt, kun je de okselventilatie open ritsen voor wat welkome frisse lucht."
Outdoor jassen,Kjelvik Isa Softshelljas Dames - Maat 44,"Softshell jas Isa is sportieve dames jas gemaakt van een soepele 4-way stretch softshell kwaliteit, welke gebonden is met polarfleece. Deze softshell jas is ademend en waterafstotend. Verder beschikt de jas over twee steekzakken met ritssluiting en verstelbare manchetten."
Outdoor jassen,"The North Face – Graphic Collection Full-Zip Fleece Hoodie Herr - Graphic Hoodie - Fleece Jumper - Activewear för män - SUMMIT NAVY, M",Onderhoudsvriendelijk: gewoon in de wasmachine gooien met dezelfde kleuren.
Outdoor jassen,Nordberg Ingrida Softshell Jas Dames - Kleur Rood - Maat XL,"Nordberg Zomerjas Ingrida voor Dames Maat XL Kleur Rood  Windproof en Waterafstotend Een jas van Nordberg is de ideale jas voor al je outdoor activiteiten. Hij is ideaal en heerlijk comfortabel tijdens het sporten, wandelen, fietsen, paardrijden of om alleen maar even snel een boodschap te halen of de hond uit te laten. Een Nordberg jas beschermt je tegen de slechtere weersomstandigheden gedurende de lente en zomerperiode.  De jas is waterafstotend, winddicht en heeft een groot ademend vermogen. Het 4-way stretchmateriaal zorgt ervoor dat je jas lekker zit en dat je vrij kan bewegen. De zachte voering aan de binnenzijde zorgt voor warmte en draagcomfort. Daarnaast zijn er voldoende zakken en binnenzakken die dichtgeritst kunnen worden om zo je spullen niet kwijt te raken.  Extra specificaties: 3-laags met 4-way stretchmateriaalAdemendWindproofLichtgewichtWaterafstotend"
Outdoor jassen,Cappuccino Italia - Heren Outdoorjas Softshell Hood Jacket Black - Zwart - Maat XL,"Cappuccino Italia Softshell Hood Jacket voor heren. De Softshell Hood Jacket is gemaakt van polyester en elastaan, en heeft een normale pasvorm.  Merk: Cappuccino Italia  Modelnaam: Softshell Hood Jacket  Categorie: heren Softshell Hood Jacket  Materialen: polyester, elastaan  Kleur: zwart"
Outdoor jassen,Cappuccino Italia - Heren Outdoorjas Softshell Zip Jacket Grijs - Grijs - Maat S,"Cappuccino Italia Softshell Zip Jacket voor heren. De Softshell Zip Jacket is gemaakt van polyester en elastaan, en heeft een normale pasvorm.  Merk: Cappuccino Italia  Modelnaam: Softshell Zip Jacket  Categorie: heren Softshell Zip Jacket  Materialen: polyester, elastaan  Kleur: grijs"
Outdoor jassen,Kjelvik Elin Outdoorjas Dames - Waterdicht en Ademend - Maat 38,"Dames jas Elin is een waterdichte jas met een waterkolom van 5000 mm en getapete naden. Deze jas heeft een afneembare capuchon, een borstzak, twee steekzakken, een binnenzak en verstelbare manchetten."
Outdoor jassen,Mountain Peak dames softshell jas groen - Maat L - Winddicht - Ademend materiaal,"Lange, groene softshell jas voor dames uit de Mountain Peak outdoorcollectie. De dames jas is voorzien van een vaste capuchon, waterdichte ritsen en twee zakken die af te sluiten zijn met een rits. Daarnaast heeft de softshell jas nog een extra borstzakje met ritssluiting. Het materiaal is winddicht, ademend en warmte regulerend. De softshell jas van Mountain Peak heeft een waterkolom van 3000 MM. Gemaakt van 95% polyester en 5% elastaan"
Outdoor jassen,Kjelvik Toos Softshelljas Dames - Maat 42,"Softshell jas Toos is een winddichte en waterafstotende jas voor dames. De stof van deze half lange jas is deels voorzien een honinggraad patroon. De jas heeft een afneembare capuchon, twee steekzakken en verstelbare manchetten."
